Al,O,Y
-1.4783756348798476,-4.766034780261075,-3.0170182824892886
-1.5930244123039898,-4.654769430114201,-3.2709983873698767
-2.63278740318569,-4.0484602708848465,-3.963296706151128
-3.1775958802280058,-3.65832001944046,-4.615843583524815
-3.654628340968819,-3.3810728738307816,-4.929778064728841
-3.9335926507636607,-3.16253385534558,-5.33899362234491
-3.771610144315379,-3.211992879862501,-5.411128368357695
-3.0148177927812387,-3.754047283386959,-4.504231340150096
-2.78292907248089,-3.886189593840731,-4.3621432988355915
-3.1666791744690155,-3.7262641871129456,-4.362261422433187
-2.290646884836616,-4.207979545950843,-3.895453803135601
-1.72496993716062,-4.658273037556138,-3.037074749507746
-2.308858299747521,-4.245313632037877,-3.7157651006026224
-1.819911292926435,-4.549027718004257,-3.3158204347722458
-2.5186690059971593,-4.114492548854303,-3.8893649229208536
-1.9858474875903018,-4.391293959800777,-3.6701951431463873
-1.4520230657386435,-4.776694092653516,-3.0183019814881953
-2.046986606534688,-4.393781772269324,-3.5583453616982235
-2.841286849726021,-3.9085032539782913,-4.175625696210131
-2.551599199004819,-4.052567039935837,-4.082183303581952
-3.3342250617710705,-3.5023237300475287,-4.978780105191433
-3.585818792194917,-3.4290092180830944,-4.852715269009424
-2.872848094980539,-3.7961233541419017,-4.572543220131494
-2.663763094101225,-4.007624973706524,-4.075011743338528
-2.342245334818112,-4.229638077984644,-3.722822258364568
-1.9839061175764423,-4.445727522841797,-3.4556965076720747
-2.161531946844817,-4.366305748311347,-3.477340557013248
-2.1917543098132266,-4.374856916014505,-3.3927652812532654
-2.1918088365178323,-4.384858615213233,-3.3526676066173438
-2.352757197577536,-4.271170827392818,-3.539171489466166
-2.6818013010034822,-4.009765485191587,-4.036386019227845
-1.8853223793457747,-4.4784935550788365,-3.488938609108362
-2.3472480607438793,-4.214148997972126,-3.7764407018716937
-2.612483831968506,-3.997995591665404,-4.198994708390869
-3.4140551648401787,-3.503218703362008,-4.842150040151666
-2.8661110233948177,-3.883474473241106,-4.234367196377547
-2.225375233158998,-4.352901280402863,-3.4245529514568815
-2.078897965245569,-4.390832070827289,-3.5169585696148937
-1.9141505752045218,-4.455395793523836,-3.533282662230451
-1.5180684289085575,-4.75128879119159,-3.009847582052708
-1.080243943272089,-5.112154153415424,-2.296093609218156
-1.1128411608924733,-5.022300495655979,-2.601179544221962
-0.850400486289123,-5.262620699888986,-2.077299851628851
-1.4463480401181033,-4.7653579951177,-3.0731047476656936
-1.8352340146479187,-4.562972830365451,-3.2345021157916594
-1.7878022455716924,-4.623358306028295,-3.0720131616006654
-1.735865228453727,-4.673035249401652,-2.9598670833038465
-2.1459291817148927,-4.308512416556786,-3.7345184925813655
-2.639209081686241,-4.01633030577999,-4.081113769069641
-2.9070776084015226,-3.7806302567329233,-4.577466420732433
-2.4079595162962315,-4.1642916114508495,-3.8746844887028824
-2.8920401631117647,-3.790954165605305,-4.561233194059169
-3.4181853021377857,-3.4651687611834507,-4.987466246703219
-2.8819306032270475,-3.8420612963770058,-4.373653937446897
-2.9866381660541634,-3.7398148742200026,-4.608127021363048
-2.7138694905069283,-3.9259529796563535,-4.318189058863039
-3.3188353992747777,-3.5510059659639404,-4.809700599019607
-3.720134453589121,-3.2841857964619856,-5.208149519836853
-2.8944924519166815,-3.873471053977586,-4.227078492561853
-2.452512271996557,-4.11492829684203,-3.997883154304283
-3.2625711928952135,-3.615848970145822,-4.644102259591355
-2.415922815301365,-4.228524669809624,-3.6044800902592287
-1.7596319094663027,-4.632494122959882,-3.0824204540499665
-2.427827211751539,-4.192706652522069,-3.727911498659157
-2.185761460522491,-4.353839572621242,-3.486822736977546
-2.702794492504309,-3.971163641313837,-4.1558047422374695
-1.7793129205768048,-4.563878381631726,-3.3240817341784203
-2.0578580207537165,-4.408817244733389,-3.480084448143581
-1.7259941379983448,-4.675043257090904,-2.968286869972476
-1.996871094535111,-4.438005000535426,-3.4649783019664415
-2.649566931626448,-4.078695882678331,-3.8143883782425947
-3.371427510647528,-3.4848624507750348,-4.986621140820646
-3.9438919204089014,-3.1909661537442666,-5.20809897934143
-3.9800153946272103,-3.191233786189788,-5.146822659195497
-3.3598893209702267,-3.5931540399611057,-4.572685100205198
-3.350569458599614,-3.575973723738767,-4.656939469045573
-2.639028464855291,-4.053630680369231,-3.9322132987642564
-2.063187249187992,-4.419997523995645,-3.4264812837041
-1.7601497453670905,-4.545785509022042,-3.42839184996668
-0.8824690613207025,-5.145790760261904,-2.491171985084543
-1.7497005363332752,-4.614903035838885,-3.1693370910890017
-2.439882267604228,-4.176967856980768,-3.77077492106988
-2.821489020827618,-3.8662881590554443,-4.377482457398857
-3.345522772690069,-3.5136517810563164,-4.9146383829579525
-3.557959212182916,-3.442283840545773,-4.846049412512047
-4.094747103280152,-3.0556977027377843,-5.497747478581941
-3.8625680731459098,-3.202707330073752,-5.296674019461808
-2.999690900327905,-3.810876025139721,-4.302127860561275
-3.242066193552196,-3.5699296651757475,-4.861954478376682
-2.709501184678138,-3.9064218930248336,-4.403593915103767
-3.5459169507897843,-3.427893014549525,-4.923683152152256
-3.7023531296042194,-3.2452686857293647,-5.393453502742172
-4.338282636023302,-2.9004937190306754,-5.712670858838461
-3.7494579667014554,-3.312000796617853,-5.048016997359494
-3.029714382276201,-3.815567212594023,-4.233323974163572
-3.4611393822576737,-3.4453995665976196,-4.994952891513395
-3.061377421636187,-3.683723387950594,-4.707927540470644
-3.4603419433147824,-3.482882727916882,-4.846349311141166
-2.723372140882879,-3.8954509090743628,-4.424359590564416
-2.3215930074678983,-4.298435651980104,-3.4820525079664186
-1.4017101108136663,-4.878454134451744,-2.6951167391702477
-2.2465723882025324,-4.33895793840099,-3.4449977277251493
-1.5632745329892943,-4.749743047884237,-2.9406870484808962
-2.1461374917121607,-4.331564084560956,-3.6419646372359074
-2.2883102824379113,-4.2761634683160805,-3.6266124510058226
-2.3689916012092187,-4.17476953948232,-3.8977193017220233
-2.6494046982657316,-3.960002230124264,-4.28943337739339
-1.9117206154024733,-4.539243731994549,-3.2019408413510133
-1.7242592761381912,-4.577836836380861,-3.3600039892462346
-2.0839643439976423,-4.381268940445646,-3.5467671265546783
-2.737231383870148,-4.015809646474592,-3.9198259026513824
-1.9030785439950157,-4.48517193138561,-3.432631496132531
-2.3653994760752215,-4.174555390695643,-3.9045627720920577
-2.8494233481737976,-3.894572444470295,-4.217788103495824
-2.7635560071525744,-3.9809192663671067,-4.015513050943948
-2.816071946106396,-3.867567881575764,-4.381392025186283
-3.830507324875539,-3.2888383174959848,-5.005584650223493
-4.24146230766368,-2.933104129354654,-5.743596431475252
-5.198175551816479,-2.341132660015499,-6.51696023524387
