 #energy      xx(cm^-1)       yy(cm^-1)       zz(cm^-1)       xy(cm^-1)       yz(cm^-1)       zx(cm^-1)
   7.191      0.8666E+05      0.8666E+05      0.8666E+05      0.0000E+00      0.0000E+00      0.0000E+00
   7.228      0.8324E+05      0.8324E+05      0.8324E+05      0.0000E+00      0.0000E+00      0.0000E+00
   7.265      0.8121E+05      0.8121E+05      0.8121E+05      0.0000E+00      0.0000E+00      0.0000E+00
   7.301      0.8082E+05      0.8082E+05      0.8082E+05      0.0000E+00      0.0000E+00      0.0000E+00
   7.338      0.8226E+05      0.8226E+05      0.8226E+05      0.0000E+00      0.0000E+00      0.0000E+00
   7.375      0.8572E+05      0.8572E+05      0.8572E+05      0.0000E+00      0.0000E+00      0.0000E+00
   7.412      0.9186E+05      0.9186E+05      0.9186E+05      0.0000E+00      0.0000E+00      0.0000E+00
   7.449      0.1019E+06      0.1019E+06      0.1019E+06      0.0000E+00      0.0000E+00      0.0000E+00
   7.486      0.1175E+06      0.1175E+06      0.1175E+06      0.0000E+00      0.0000E+00      0.0000E+00
   7.523      0.1383E+06      0.1383E+06      0.1383E+06      0.0000E+00      0.0000E+00      0.0000E+00
   7.560      0.1592E+06      0.1592E+06      0.1592E+06      0.0000E+00      0.0000E+00      0.0000E+00
   7.596      0.1722E+06      0.1722E+06      0.1722E+06      0.0000E+00      0.0000E+00      0.0000E+00
   7.633      0.1795E+06      0.1795E+06      0.1795E+06      0.0000E+00      0.0000E+00      0.0000E+00
   7.670      0.1928E+06      0.1928E+06      0.1928E+06      0.0000E+00      0.0000E+00      0.0000E+00
   7.707      0.2174E+06      0.2174E+06      0.2174E+06      0.0000E+00      0.0000E+00      0.0000E+00
   7.744      0.2438E+06      0.2438E+06      0.2438E+06      0.0000E+00      0.0000E+00      0.0000E+00
   7.781      0.2582E+06      0.2582E+06      0.2582E+06      0.0000E+00      0.0000E+00      0.0000E+00
   7.818      0.2659E+06      0.2659E+06      0.2659E+06      0.0000E+00      0.0000E+00      0.0000E+00
   7.855      0.2784E+06      0.2784E+06      0.2784E+06      0.0000E+00      0.0000E+00      0.0000E+00
   7.891      0.2901E+06      0.2901E+06      0.2901E+06      0.0000E+00      0.0000E+00      0.0000E+00
   7.928      0.2862E+06      0.2862E+06      0.2862E+06      0.0000E+00      0.0000E+00      0.0000E+00
   7.965      0.2676E+06      0.2676E+06      0.2676E+06      0.0000E+00      0.0000E+00      0.0000E+00
   8.002      0.2515E+06      0.2515E+06      0.2515E+06      0.0000E+00      0.0000E+00      0.0000E+00
   8.039      0.2513E+06      0.2513E+06      0.2513E+06      0.0000E+00      0.0000E+00      0.0000E+00
   8.076      0.2723E+06      0.2723E+06      0.2723E+06      0.0000E+00      0.0000E+00      0.0000E+00
   8.113      0.3183E+06      0.3183E+06      0.3183E+06      0.0000E+00      0.0000E+00      0.0000E+00
   8.150      0.3924E+06      0.3924E+06      0.3924E+06      0.0000E+00      0.0000E+00      0.0000E+00
   8.187      0.4874E+06      0.4874E+06      0.4874E+06      0.0000E+00      0.0000E+00      0.0000E+00
   8.223      0.5782E+06      0.5782E+06      0.5782E+06      0.0000E+00      0.0000E+00      0.0000E+00
   8.260      0.6324E+06      0.6324E+06      0.6324E+06      0.0000E+00      0.0000E+00      0.0000E+00
   8.297      0.6367E+06      0.6367E+06      0.6367E+06      0.0000E+00      0.0000E+00      0.0000E+00
   8.334      0.6144E+06      0.6144E+06      0.6144E+06      0.0000E+00      0.0000E+00      0.0000E+00
   8.371      0.6072E+06      0.6072E+06      0.6072E+06      0.0000E+00      0.0000E+00      0.0000E+00
   8.408      0.6282E+06      0.6282E+06      0.6282E+06      0.0000E+00      0.0000E+00      0.0000E+00
   8.445      0.6591E+06      0.6591E+06      0.6591E+06      0.0000E+00      0.0000E+00      0.0000E+00
   8.482      0.6917E+06      0.6917E+06      0.6917E+06      0.0000E+00      0.0000E+00      0.0000E+00
   8.518      0.7259E+06      0.7259E+06      0.7259E+06      0.0000E+00      0.0000E+00      0.0000E+00
   8.555      0.7466E+06      0.7466E+06      0.7466E+06      0.0000E+00      0.0000E+00      0.0000E+00
   8.592      0.7310E+06      0.7310E+06      0.7310E+06      0.0000E+00      0.0000E+00      0.0000E+00
   8.629      0.6853E+06      0.6853E+06      0.6853E+06      0.0000E+00      0.0000E+00      0.0000E+00
   8.666      0.6363E+06      0.6363E+06      0.6363E+06      0.0000E+00      0.0000E+00      0.0000E+00
   8.703      0.6010E+06      0.6010E+06      0.6010E+06      0.0000E+00      0.0000E+00      0.0000E+00
   8.740      0.5880E+06      0.5880E+06      0.5880E+06      0.0000E+00      0.0000E+00      0.0000E+00
   8.777      0.5869E+06      0.5869E+06      0.5869E+06      0.0000E+00      0.0000E+00      0.0000E+00
   8.813      0.5758E+06      0.5758E+06      0.5758E+06      0.0000E+00      0.0000E+00      0.0000E+00
   8.850      0.5507E+06      0.5507E+06      0.5507E+06      0.0000E+00      0.0000E+00      0.0000E+00
   8.887      0.5266E+06      0.5266E+06      0.5266E+06      0.0000E+00      0.0000E+00      0.0000E+00
   8.924      0.5229E+06      0.5229E+06      0.5229E+06      0.0000E+00      0.0000E+00      0.0000E+00
   8.961      0.5415E+06      0.5415E+06      0.5415E+06      0.0000E+00      0.0000E+00      0.0000E+00
   8.998      0.5729E+06      0.5729E+06      0.5729E+06      0.0000E+00      0.0000E+00      0.0000E+00
   9.035      0.6194E+06      0.6194E+06      0.6194E+06      0.0000E+00      0.0000E+00      0.0000E+00
   9.072      0.6902E+06      0.6902E+06      0.6902E+06      0.0000E+00      0.0000E+00      0.0000E+00
   9.108      0.7911E+06      0.7911E+06      0.7911E+06      0.0000E+00      0.0000E+00      0.0000E+00
   9.145      0.9051E+06      0.9051E+06      0.9051E+06      0.0000E+00      0.0000E+00      0.0000E+00
   9.182      0.9850E+06      0.9850E+06      0.9850E+06      0.0000E+00      0.0000E+00      0.0000E+00
   9.219      0.9950E+06      0.9950E+06      0.9950E+06      0.0000E+00      0.0000E+00      0.0000E+00
   9.256      0.9561E+06      0.9561E+06      0.9561E+06      0.0000E+00      0.0000E+00      0.0000E+00
   9.293      0.9128E+06      0.9128E+06      0.9128E+06      0.0000E+00      0.0000E+00      0.0000E+00
   9.330      0.8788E+06      0.8788E+06      0.8788E+06      0.0000E+00      0.0000E+00      0.0000E+00
   9.367      0.8590E+06      0.8590E+06      0.8590E+06      0.0000E+00      0.0000E+00      0.0000E+00
   9.403      0.8683E+06      0.8683E+06      0.8683E+06      0.0000E+00      0.0000E+00      0.0000E+00
   9.440      0.9184E+06      0.9184E+06      0.9184E+06      0.0000E+00      0.0000E+00      0.0000E+00
   9.477      0.1020E+07      0.1020E+07      0.1020E+07      0.0000E+00      0.0000E+00      0.0000E+00
