#K-Path             Spin-Up       Spin-Down
#Band-index    1
  0.587      -13.0327      -13.0327
  0.587      -13.0327      -13.0327
  0.598      -13.0327      -13.0327
  0.609      -13.0327      -13.0327
  0.620      -13.0327      -13.0327
  0.631      -13.0327      -13.0327
  0.642      -13.0326      -13.0326
  0.653      -13.0326      -13.0326
  0.664      -13.0325      -13.0325
  0.675      -13.0324      -13.0324
  0.686      -13.0323      -13.0323
  0.696      -13.0322      -13.0322
  0.707      -13.0320      -13.0320
  0.718      -13.0318      -13.0318
  0.729      -13.0316      -13.0316
  0.740      -13.0313      -13.0313
  0.751      -13.0310      -13.0309
  0.762      -13.0306      -13.0306
  0.773      -13.0301      -13.0301
  0.784      -13.0296      -13.0296
  0.795      -13.0291      -13.0291
  0.795      -13.0291      -13.0291
  0.828      -13.0269      -13.0269
  0.860      -13.0241      -13.0241
  0.893      -13.0206      -13.0206
  0.926      -13.0163      -13.0163
  0.959      -13.0113      -13.0113
  0.991      -13.0059      -13.0059
  1.024      -13.0000      -13.0000
  1.057      -12.9940      -12.9940
  1.090      -12.9881      -12.9881
  1.123      -12.9840      -12.9840
  1.155      -12.9817      -12.9817
  1.188      -12.9789      -12.9789
  1.221      -12.9759      -12.9759
  1.254      -12.9727      -12.9727
  1.286      -12.9696      -12.9695
  1.319      -12.9667      -12.9667
  1.352      -12.9643      -12.9643
  1.385      -12.9628      -12.9628
  1.418      -12.9622      -12.9622
  1.418      -12.9622      -12.9622
  1.444      -12.9625      -12.9625
  1.471      -12.9632      -12.9632
  1.498      -12.9643      -12.9643
  1.525      -12.9657      -12.9657
  1.551      -12.9675      -12.9675
  1.578      -12.9694      -12.9694
  1.605      -12.9715      -12.9714
  1.632      -12.9736      -12.9736
  1.658      -12.9757      -12.9757
  1.685      -12.9777      -12.9777
  1.712      -12.9797      -12.9797
  1.739      -12.9815      -12.9815
  1.765      -12.9831      -12.9831
  1.792      -12.9845      -12.9845
  1.819      -12.9857      -12.9857
  1.846      -12.9867      -12.9867
  1.873      -12.9873      -12.9873
  1.899      -12.9878      -12.9878
  1.926      -12.9879      -12.9879
  1.926      -12.9879      -12.9879
  1.948      -12.9887      -12.9887
  1.970      -12.9907      -12.9907
  1.992      -12.9936      -12.9936
  2.013      -12.9970      -12.9970
  2.035      -13.0006      -13.0006
  2.057      -13.0042      -13.0042
  2.079      -13.0078      -13.0078
  2.101      -13.0112      -13.0112
  2.123      -13.0145      -13.0145
  2.145      -13.0175      -13.0175
  2.166      -13.0203      -13.0203
